"question","answer"
"Hogyan ellenőrizhető a hűtőközeg szintje?","Ezt csak képzett szakember végezheti speciális eszközökkel."
"Mit tegyek, ha nincs áram a készülékhez?","Ellenőrizze az áramellátást, biztosítékokat és a konnektort."
"Hogyan igényelhetek cserealkatrészt a készülékhez?","Szükséges a készülék típusa és széria száma az igényléshez. A telepítő cégen keresztül vagy Gree partnereken keresztül lehet igényelni."
"Milyen alkatrészek érhetők el a készülékhez?","Az ügyfélszolgálat listát tud adni az elérhető alkatrészekről."
"Hogyan cserélhetek alkatrészt a készülékben?","Csak képzett szakember végezheti el a cserét a gyártó előírásai szerint."
"Hol lehet eredeti alkatrészeket vásárolni?","Hivatalos viszonteladóknál és a gyártó által jóváhagyott partnereknél."
"Mennyi idő alatt szállítják az alkatrészeket?","Általában néhány munkanap alatt kiszállításra kerülnek."
"Hogyan találhatok hivatalos viszonteladót?","Visszaeladóink listája elérhető a forgalmazó weboldalán a gree-magyarorszag.hu oldalon."
"Hogyan találok szakembert a telepítéshez?","Telepítő partnereink listája szintén az oldalon található."
"Hogyan válasszak szerelőt a készülékhez?","Válasszon akkreditált, képzett szerelőt a hivatalos listából."
"Ki képzett a javításra?","A gyártó által akkreditált szervizek végezhetik a javítást."
"Van-e partnerprogram kereskedőknek?","Igen, weboldalunkon a Kapcsolat fül alatt található."
"Honnan lehet tanúsítványt szerezni?","Képzéseken és tanfolyamokon lehet oklevelet szerezni, a részleteket a honlapon találja."
"Hogyan regisztrálhatom a készüléket?","A jótállási jegy kitöltésével és online űrlap beküldésével regisztrálható."
"Honnan kaphatok ügyfélszolgálati támogatást?","Az ügyfélszolgálat elérhetősége weboldalunkon található, email: info@cool4u.hu, vagy telefonon a 0666514680-as számon"
"Mennyi időn belül válaszolnak az ügyfélszolgálat?","Általában 1-2 munkanapon belül kap választ."
"Hol találom a felhasználói kézikönyvet?","A felhasználói kézikönyv letölthető a gyártó honlapjáról, a Támogatás fül alatt."
"Hol lehet letölteni a telepítési útmutatót?","A telepítési útmutató elérhető a termék dokumentáció oldalán."
"Hogyan vehetem fel a kapcsolatot az ügyfélszolgálattal?","E-mailben vagy telefonon az elérhetőségek szerint a weboldalon, email: info@cool4u.hu, vagy telefonon a 0666514680-as számon"
"Mikor érhető el az ügyfélszolgálat?","Hétfőtől péntekig, 8:00-17:00 között érhető el."
"Hogyan tehetek panaszt?","Panaszát e-mailben küldheti el hivatalos címünkre."
"Hogyan kaphatok információt az újdonságokról?","Iratkozzon fel hírlevelünkre a weboldalon."
"Hogyan jelezhetek hibát a weboldalon?","Kérjük, küldje el visszajelzését a kapcsolati űrlapon keresztül."
"Hol találom a cég központi irodájának címét?","A cég központi címe megtalálható a kapcsolati oldalon. 5540, Szarvas Arborétum u.2."
"Milyen státuszokon megy keresztül egy HEM projekt a rendszerben?","kezdeti állapot | ellenőrzésre vár | esetleges javításra vár | kivitelezésre vár | kivitelezés kész | elszámolás alatt | esetleges lezárt (megszakítva)"
"Milyen dokumentumokat kell feltölteni a Gree HEM+ felületre?","Megrendelő személyes adatok | Beruházás helyszínének adatai | Megrendelő lakcímkártya | Közüzemi számla, energetikai tanúsítvány | Első jogosulti megállapodás | Kivitelezői megrendelő | Műszaki nyilatkozat | Adatkezelési nyilatkozat | Végszámla | NKVH igazolás | Meghatalmazások, amennyiben szükséges"
"Ki ellenőrzi a feltöltött adatokat?","Megbízott auditor cég, EnergyHub Kft."
"Szükséges-e az eredeti dokumentumokat postai úton is beküldeni?","A Cool4U Kft részére a következő dokumentumokat szükséges eredetiben aláírva megküldeni. Első jogosulti megállapodás | Kivitelezői megrendelő | Műszaki nyilatkozat | Adatkezelési nyilatkozat"
"Milyen formátumban kell a teljesítési igazolásokat és számlákat benyújtani?","A teljesítési igazolást kinyomtatva, aláírva, postai úton szükséges megküldeni. A hozzá tartozó számlát online is be tudjuk fogadni."
"Mi az elfogadott határidő a dokumentumfeltöltésre a kivitelezés után?","Nincs lejárati határidő, viszont amíg nem kerül auditálásra és lezárásra a folyamat és eredetiben nem érkeznek be a szükséges dokumentumok, addig a HEM értékét nem lehetséges beszámlázni a Cool4U Kft részére."
"Mi a teendő hiánypótlás esetén?","Hiánypótlás esetén a felületen meg lehet tekinteni, hogy melyik dokumentummal és pontosan milyen hiánypótlás, javítás szükséges. Ezek után lehet javítani, pótolni a dokumentumot."
"Mi történik, ha véletlenül rossz dokumentumot töltök fel? Javítható?","Amennyiben hibás, téves dokumentum kerül feltöltésre az auditálás során hiánypótlási kötelezettséggel visszaküldi az auditor cég a rendszerben."
"Hogyan értesülök arról, hogy a dokumentumaimat elfogadták vagy elutasították?","A rendszeren belüli módosításokról e-mailes értesítés küldünk partnereink részére."
"Van maximális fájlméret vagy kötelező fájlformátum?","A kötelező fájl formátum PDF vagy JPG, törekedjenek a kis méretű fájlok feltöltésére."
"Mikor kezdhető meg a kivitelezés?","A kivitelezés akkor kezdhető meg, amikor letölthetővé válnak a kötelező eredetiben aláírandó dokumentumok. Első jogosulti megállapodás | Kivitelezői megrendelő | Műszaki nyilatkozat"
"Kinek kell aláírnia az első jogosulti megállapodást?","Nagyon fontos, hogy időrendileg a legelső kötelező dokumentum, amit alá szükséges írattatni a megrendelővel az az Első jogosulti megállapodás. Ezután a kivitelező partner írja alá."
"Ki írja alá a kivitelezői megrendelőt?","A megrendelő és a kivitelező partner, aki szerepel az Első jogosulti megállapodáson."
"Ki írja alá a műszaki adatlapot?","A megrendelő és a kivitelező partner, aki szerepel az Első jogosulti megállapodáson."
"Milyen szereplők vesznek részt a projektben?","végfelhasználó | kivitelező | Cool4U Kft. | EnergyHub Kft."
"Milyen feltételek mellett számolható el a projekt az EKR-ben?","Amennyiben minden benyújtott adat és dokumentum a valóságot tükrözi és hiteles akkor elszámolható a projekt."
"Milyen műszaki minimum követelménynek kell megfelelnie a klímának?","4-es érték feletti SCOP"
"Szükséges-e fotódokumentáció a kivitelezésről?","Nem szükséges. Egy akár kézzel készített vázrajz szükséges a teljes fűtött alapterületről és a klímák pozícióját szükséges megjelölni. NKVH igazolás feltöltése szükséges"
"Mennyi idő áll rendelkezésre a kivitelezés elindítására a jóváhagyás után?","A program visszavonásáig"
"Mi történik, ha a kivitelezés közben derül ki, hogy plusz munkára van szükség (pl. villamos hálózat bővítése)?","A program a klíma berendezés beszerzését támogatja. Amennyiben egyéb ilyen irányú költség merül fel, az a megrendelőt terheli."
"Kell-e aláírás elektronikusan is, vagy csak papíron kötelező a dokumentumokon?","A dokumentumok aláírása elektronikusan és papíron is elfogadott."
"Ha rossz minőségű a kép, amiatt elutasíthatják a projektet?","Amennyiben a dokumentum vagy kép nem olvasható a rossz minőség miatt akkor hiánypótlás során javítani szükséges."
"Milyen dátummal kell kiállítani a számlát?","A tárgy hónap utolsó napjával szükséges keltezni. Teljesítési dátumtól számított 5 napon belül kell a számlát kiállítani. A számla teljesítési dátuma egyezzen a teljesítési igazoláson található kelttel, azaz az elszámolt hónap utolsó napjával."
"Milyen megnevezés szerepeljen a számlán?","Szükséges feltüntetni a kivitelezés helyszínének HRSZ-ét és a megnevezése: Megbízási díj - HEM"
"Milyen gyakran küldi meg a Cool4U a teljesítési igazolásokat a partnereknek?","Havonta."
"Milyen árfolyamon történik az elszámolás, amennyiben az ügyfél devizában fizet?","Tárgynapi MNB középárfolyamon történik az elszámolás."
"Mennyi idő alatt történik meg a kifizetés a számla benyújtása után?","15-45 nap"
"Van hivatalos számlaminta, amit kötelező követni?","Igen."
"Lehetséges előlegszámlát kiállítani?","Nem lehetséges előleg számlát kiállítani."
"Mire szolgál a GREE HEM Plusz applikáció?","A GREE HEM Plusz applikáció segítséget nyújt partnereink számára, hogy hatékonyan rész tudjanak venni a HEM programban."
"Milyen adatokat kell megadni az applikációban?","Oktatási felületünkön részletesen megtekinthető."
"Milyen esetben szükséges az energetikai tanúsítvány feltöltése?","Abban az esetben szükséges, amennyiben nem áll rendelkezésre közüzemi számla, de úgy gondolja a megrendelő, hogy magasabb energia fogyasztása van, mint a számla nélkül meghatározott norma."
"Használható az applikáció mobilon és számítógépen is?","Az applikáció minden platformon elérhető."
"Mit tegyek, ha az applikáció lefagy vagy technikai hibát tapasztalok?","Keresse fel értékesítőjét vagy írjon nekünk a: hem@cool4u.hu e-mail címre. Az adatokat zárt rendszerben tároljuk, amelyet a GDPR rendelkezésének megfelelően kezelünk."
"Ha hibás adatot viszek fel, van ""visszavonás"" funkció, vagy csak ügyfélszolgálaton keresztül javítható?","Egyelőre nincs ilyen funkció, archiválni szükséges."
"Kettő hőtermelő megadása esetén mire kell figyelni?","Kettő hőtermelő megadása esetén az energia számlának ugyan arról az időszakról szükséges, hogy szólnia. (+- 10 nap)"
"Fával fűtés esetén mivel tudom igazolni a fogyasztásomat?","Adott időszakra vonatkozó számlával vagy szállítólevéllel. Fontos, hogy a mértékegység kg, m3-ben is legyen feltüntetve."
"Milyen jogszabályi háttér vonatkozik a HEM programra?","a Magyar Energetikai és Közmű-szabályozási Hivatalról szóló 2013. évi XXII. törvény (Mekh tv.) | az energiahatékonyságról szóló 2015. évi LVII. törvény (Ehat. tv.) | az energiahatékonyságról szóló törvény végrehajtásáról szóló 122/2015. (V. 26.) Korm. rendelet (Ehat. vhr.) | a végfelhasználási energiamegtakarítással kapcsolatos adatszolgáltatásról szóló 17/2020. (XII. 21.) MEKH rendelet | az Európai Parlament és a Tanács 1099/2008/EK rendelete (2008. október 22.) az energiastatisztikáról | az Európai Parlament és a Tanács 2012/27/EU irányelve (2012. október 25.) az energiahatékonyságról | az Európai Parlament és a Tanács 2023/1791/EU irányelve (2023. szeptember 13.) az energiahatékonyságról | a Bizottság (EU) 2019/1658 ajánlása (2019. szeptember 25.) az energiahatékonysági irányelv értelmében előírt energiamegtakarítási kötelezettségek átültetéséről | AZ Európai Parlament és a Tanács 2016. április 27-i (EU) 2016/679 RENDELETE (GDPR)"
"Hogyan történik az adatkezelés a program során?","A GDPR rendelkezés betartásával"
"Mennyi ideig tárolják az adatokat a rendszerben?","A szerződésben és a hozzá tartozó iratokban szereplő adatokat, a szerződés érvényességének lejárta után, a törvényi kötelezettségeknek megfelelően, 8 évig indokolt tárolni (a 2000. évi C. törvény - Számviteli tv. 169. § (2) bekezdése alapján)."
"Harmadik félnek továbbadják-e az adatokat, vagy csak a program szereplői férnek hozzá?","Az adatokhoz a Cool4U Kft és az EnergyHub Kft fér hozzá"
"Automatikus értesítést kapunk róla, ha a jogszabály változik?","A Cool4U Kft. és az EnergyHub Kft. követik az energiamegtakarítási beruházásokat érintő jogszabályváltozásokat, amelyekről a Cool4U Kft. folyamatosan tájékoztatja a partnereit és a kivitelezőket."
"Ki felelős az adatbiztonságért, ha adatvesztés történik?","A Cool4U Kft. az adatkezelést folytató partnerekkel vagy kivitelezőkkel kötött adatfeldolgozási megállapodásban rögzíti az energiamegtakarítási projektek kapcsán felmerülő adatkezelési szabályokat, folyamatot és az ahhoz kapcsolódó felelősséget is. A Cool4U Kft. és az EnergyHub Kft. olyan informatikai rendszert dolgozott ki, amely alkalmas az abban kezelt személyes adatok megóvására."
"Mi az a HEM?","A HEM Hitelesített energia megtakarítás. Ez egy hivatalosan igazolt adat arra, hogy az energetikai beruházás mennyi energiát takarít meg. A hitelesítést szakértők végzik meghatározott módszertan szerint."
"Mi a célja a HEM programnak?","A HEM program (Hitelesített Energiamegtakarítás) célja, hogy ösztönözze az energiahatékonysági beruházásokat Magyarországon és támogassa az ország uniós klímacéljainak elérését. A program az Energiahatékonysági Kötelezettségi Rendszer (EKR) része, amelyben az energiakereskedőknek kötelező energiamegtakarítást igazolniuk."
"Mi az az EKR?","Az Energiahatékonysági Kötelezettségi Rendszerben (EKR) az energiakereskedők tudják a kötelező energiamegtakarítást igazolni. Ezt a megtakarítást a lakosság vagy vállalkozások által végrehajtott korszerűsítések révén lehet elérni, például: nyílászárók cseréje | hőszigetelés | fűtésrendszer korszerűsítése"
"Kik jogosultak a HEM programban való részvételre?","Minden magánszemély, aki saját ingatlanában, vagy meghatalmazással más ingatlanában energiamegtakarítás kíván elérni és kiegészítő fűtésként klímaberendezést kíván telepíteni. Kizáró feltétel, ha kizárólag hőszivattyúval vagy klímaberendezéssel van megoldva a fűtése az ingatlannak."
"Milyen mértékű kedvezmény érhető el a program keretében?","Kalkulátor alapú a számítás, így mindenkinek személyre szabottan, ingatlanjának megfelelő mértékű a támogatás."
"Milyen formában kapom meg a kedvezményt?","A klímaberendezés árába automatikusan belekompenzálja a kivitelező, így annyival kevesebbe kerül a beruházás."
"Mi a részvétel folyamata a HEM programban?","Készítse el egyedi kalkulációját felületünkön majd válasszon egy Önnek leginkább kedvező ajánlatot. Amennyiben segítségre van szüksége partner keresésében, kattintson a 'Megkeresés kérése' gombra. Ha már van saját szerelője, kattintson a 'Van saját szerelőm' gombra."
"Kaphatok-e visszatérítést, ha már megvettem a klímát, de később csatlakoznék a HEM programhoz?","HEM keretein belül csak akkor számolható el klíma berendezés, amennyiben azt a kivitelező cég úgy dokumentálta. Utólagosan nincs rá lehetőség."
"Abban az esetben, ha a lakásomban van már klíma, de régi típusú, akkor is igénybe vehetem a támogatást?","Van lehetőség klíma korszerűsítésére, amennyiben Ön ezt már indokoltnak tartja és kiegészítő fűtésként funkcionál. Ebben az esetben a kettő berendezés összehasonlításával állapítható meg az energia megtakarítás mértéke."
"A HEM programhoz való csatlakozás kizárólag klímás cégen keresztül történhet, vagy végfelhasználóként közvetlenül is kapcsolatba léphetek a Gree Magyarországgal?","A Gree Magyarország segítséget nyújt Önnek, hogy megtalálja az Ön számára legmegfelelőbb kivitelező partnert, amely végig segíti a programon."
"Milyen előnyöket kínál a Gree Hem Plusz?","Pontos kedvezményt lehet meghatározni kalkulátor segítségével. Célunk a legjobb kiegészítő fűtés biztosítása."
"Mennyi idő alatt bírálják el a jelentkezésemet?","A Gree Magyarország 5 munkanapon belül elbírálja a jelentkezést és igény esetén továbbítja az illetékes partnernek."
"Hogyan kapok értesítést arról, hogy jóváhagyták-e a kérelmemet?","Visszaigazoló e-mail formájában értesítjük."
"Van-e ügyfélszolgálat, ahol telefonon vagy személyesen tudok érdeklődni?","A hem@cool4u.hu e-mail címen felteheti kérdéseit."
"Kaphatok segítséget, ha nem értek az online ügyintézéshez?","Ha nem biztos az online ügyintézésben, partnereink készséggel segítenek. Miután felkeres minket, kiajánljuk partnerünket, aki végig vezeti Önt a szükséges lépéseken."
"Milyen dokumentumokat kell benyújtani a jelentkezéshez?","A kalkulátor kitöltése, személyes adatok, beruházás helyszínének adatai, lakcímkártya, közüzemi számla vagy energetikai tanúsítvány (társasház esetében) vagy közüzemi számla nélkül. Az energetikai tanúsítványhoz szükséges a számításokat tartalmazó melléklet, amin látható a fűtés fajlagos nettó hőenergia igénye."
"Szükséges-e, hogy az igénylő tulajdonosa legyen annak az ingatlannak, ahová a klímaberendezés kerül?","Meghatalmazással is elvégezhető a beruházás."
"Igényelhető-e támogatás klímaberendezés beszerzésére céges irodába? Vállalkozások vagy közintézmények is részt vehetnek a programban?","A GREE HEM Plusz program magánszemélyek részére nyújt lehetőséget."
"A HEM program igénybevételéhez szükséges-e benyújtani a ház tulajdoni lapját?","Nem szükséges benyújtani tulajdoni lapot."
"Szükséges-e állandó lakcím az adott ingatlanban vagy elég az ideiglenes?","Elég az ideiglenes lakcím."
"Igazolható-e a fogyasztás közüzemi számlával, ha az ingatlan nemrég került megvásárlásra?","Igen, a közüzemi számlák az ingatlan címére szólnak, így nem jelent problémát, ha a számla még az előző tulajdonos nevére van kiállítva."
"A HEM program kizárólag Gree márkájú klímaberendezésekre érvényes vagy a Syen márkát is be lehet vonni a támogatásba?","Syen márkára is érvényes."
"A program keretében hőszivattyú beszerelésére is igényelhető támogatás?","Jelenleg nem elérhető hőszivattyú beszerelésére."
"A klímához tartozó segédanyagokra, kiegészítőkre is vonatkozik a támogatás?","Nem."
"A HEM program kizárólag split klímákra vonatkozik, vagy lehetőség van multi rendszerek és kereskedelmi gépek bevonására is?","Jelenleg csak split klímákat és multi rendszereket tartalmaz a program."
"Melyik klímatípus választása a legkedvezőbb a HEM programban való részvételhez?","A programra fejlesztett kalkulátorunk és kivitelező partnereink segítenek kiválasztani a legjobb Gree klíma berendezést."
"Ki segít kiválasztani, hogy mekkora teljesítményű klímára van szükségem?","A programra fejlesztett kalkulátorunk és kivitelező partnereink segítenek kiválasztani a legmegfelelőbb teljesítményű Gree klíma berendezést."
"Mi történik, ha az igénylés során nem valós adatokat adok meg?","A megadott adatokat minden esetben megbízott auditor cég ellenőrzi. Amennyiben az adatok nem valósak az igénylés elutasításra kerül."
"Felmerülhetnek-e rejtett költségek a programban való részvétel során?","A program során nem merülnek fel rejtett költségek."
"Mi történik, ha időközben megváltoznak a feltételek?","Ebben az esetben partnerünk egyeztet Önnel."
"Amennyiben már volt korábban energetikai támogatás ugyanarra az ingatlanra, akkor is igényelhetem?","Amennyiben korábban igényelt és számlával elszámolt klímaberendezést állami támogatott program keretein belül, akkor a HEM értékének 70%-a számolható el."
"Igényelhető-e támogatás nyaralóra, ha valaki hivatalosan oda van bejelentkezve?","Amennyiben lakcímkártya szerint ott tartózkodik a magánszemély, akkor igénybevehető."
"Panelházak, társasházak esetén is igényelhető a támogatás?","Igényelhető a támogatás."
"Önkormányzati vagy szociális bérlakásoknál igényelhető a támogatás?","Nem, csak magánszemélyek részére szól a támogatás."
"Tanya esetén igényelhető a támogatás?","Igényelhető a támogatás."
"Ha albérletben lakom, kérhetem-e a támogatást a bérbeadó engedélyével?","Amennyiben az ingatlan tulajdonosa hozzájárul a programban való részvételhez akkor igényelhető."
"Ha csak egy szobába szeretnék kiegészítő fűtést tenni, akkor is jogosult vagyok?","Természetesen, viszont minél több hatékonyabb klímaberendezést telepít kiegészítő fűtés gyanánt, annál nagyobb támogatást érhet el."
